Boroughs_and_Regions,Total
"Aleutians East Borough, Alaska","1,491"
"Aleutians West Census Area, Alaska","2,012"
"Anchorage Municipality, Alaska","29,803"
"Bethel Census Area, Alaska",328
"Bristol Bay Borough, Alaska",19
"Denali Borough, Alaska",139
"Dillingham Census Area, Alaska",83
"Fairbanks North Star Borough, Alaska","5,067"
"Haines Borough, Alaska",181
"Hoonah-Angoon Census Area, Alaska",114
"Juneau City and Borough, Alaska","2,552"
"Kenai Peninsula Borough, Alaska","1,597"
"Ketchikan Gateway Borough, Alaska","1,069"
"Kodiak Island Borough, Alaska","2,379"
"Kusilvak Census Area, Alaska",69
"Lake and Peninsula Borough, Alaska",53
"Matanuska-Susitna Borough, Alaska","3,698"
"Nome Census Area, Alaska",169
"North Slope Borough, Alaska",626
"Northwest Arctic Borough, Alaska",73
"Petersburg Borough, Alaska",196
"Prince of Wales-Hyder Census Area, Alaska",101
"Sitka City and Borough, Alaska",755
"Skagway Municipality, Alaska",97
"Southeast Fairbanks Census Area, Alaska",734
"Valdez-Cordova Census Area, Alaska",427
"Wrangell City and Borough, Alaska",112
"Yakutat City and Borough, Alaska",40
"Yukon-Koyukuk Census Area, Alaska",63
