Country,"Aleutians East Borough, Alaska","Aleutians West Census Area, Alaska","Anchorage Municipality, Alaska","Bethel Census Area, Alaska","Bristol Bay Borough, Alaska","Denali Borough, Alaska","Dillingham Census Area, Alaska","Fairbanks North Star Borough, Alaska","Haines Borough, Alaska","Hoonah-Angoon Census Area, Alaska","Juneau City and Borough, Alaska","Kenai Peninsula Borough, Alaska","Ketchikan Gateway Borough, Alaska","Kodiak Island Borough, Alaska","Kusilvak Census Area, Alaska","Lake and Peninsula Borough, Alaska","Matanuska-Susitna Borough, Alaska","Nome Census Area, Alaska","North Slope Borough, Alaska","Northwest Arctic Borough, Alaska","Petersburg Borough, Alaska","Prince of Wales-Hyder Census Area, Alaska","Sitka City and Borough, Alaska","Skagway Municipality, Alaska","Southeast Fairbanks Census Area, Alaska","Valdez-Cordova Census Area, Alaska","Wrangell City and Borough, Alaska","Yakutat City and Borough, Alaska","Yukon-Koyukuk Census Area, Alaska"
United Kingdom,12,4,24,1,415,2,1,2,38,43,0,8,0,126,14,3,1,0,0,102,2,0,41,0,2,3,0,0,3
Ireland,0,4,0,2,60,0,0,2,0,9,0,0,0,33,0,0,0,0,0,12,2,0,0,0,6,0,0,0,0
Denmark,0,0,0,0,88,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
Norway,16,0,4,0,63,0,0,2,0,10,0,0,2,21,0,0,0,0,0,3,0,0,0,5,1,38,0,0,0
Sweden,0,0,0,0,62,0,0,0,11,25,0,0,0,14,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0
Austria,0,0,0,0,62,0,0,0,17,3,0,0,0,22,0,0,0,0,0,40,0,0,0,5,0,0,0,0,0
Belgium,0,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
France,0,0,0,0,55,0,0,2,29,22,2,0,0,9,0,0,0,0,0,16,0,0,0,0,1,0,0,2,0
Germany,26,0,41,15,553,0,18,0,92,35,4,33,22,544,6,0,0,0,3,182,0,8,0,0,6,49,2,7,1
Netherlands,5,0,0,0,11,0,0,2,7,7,0,6,0,31,0,0,0,0,3,4,0,0,0,0,0,0,0,3,0
Switzerland,0,0,22,10,67,0,0,0,3,3,0,0,0,48,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,34,0,0,0,0,17,0,0,0,15,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0
Italy,5,0,0,0,105,0,0,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,4
Portugal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
